X;T1;T2;T3;T4
0;26.5;26.8;25.9;26.6
0;26.5;26.8;26.0;26.6
0.1;26.3;26.6;26.0;26.3
0.1;26.4;26.7;25.9;26.5
10;27.3;34.4;25.9;26.3
17;29.3;40.2;25.9;26.8
21;30.2;44.4;25.9;27.1
27;35.2;48.1;26.4;28.0
30;45.5;51.9;26.8;30.2
36;59.8;54.6;27.4;34.1
39;62.0;56.2;27.7;28.1
43;68.4;60.3;28.6;30.6
50;69.9;61.3;33.3;59.5
51;71.1;65.9;59.4;77.8
58;80.5;74.1;79.7;82.6
58;80.6;74.8;79.6;82.1
58;80.4;75.2;79.7;81.6
58;80.2;75.7;79.8;80.4
58;80.9;75.8;80.4;80.6
